type1,cost1,size1,space1,station1,price1
sportcar,8,2,0.7,0.7,4.690508
regcar,8,3,0.7,0,3.5329841
van,2,3,1,0,6.0593618
van,8,3,0.7,0.7,3.7871011
truck,4,2,0.7,0,3.5329841
van,6,3,1,0.1,3.8017382
regcar,1,1,1,0,17.370563
regcar,4,2,1,0.3,1.7673139
regcar,2,3,1,0,4.5107845
regcar,4,2,1,0,2.8118444
regcar,2,2,0.7,0.3,3.7985554
regcar,8,3,1,0,6.102427
sportuv,2,3,1,0,3.0350346
regcar,8,3,1,0,3.0674666
regcar,4,3,0.7,0,4.1386835
regcar,2,2,1,0.1,3.5329841
regcar,8,3,0.7,0,4.4965252
regcar,8,3,0.7,0,4.3455777
regcar,2,3,1,0,8.179911
regcar,8,3,1,0,5.4600663
sportcar,8,1,0.7,0.7,4.7969948
regcar,8,3,0.7,0.7,4.690508
regcar,8,1,1,0,1.2847215
regcar,4,0,1,0,7.7083289
regcar,2,3,0.7,0,4.690508
sportuv,8,3,0.7,0,7.444527
regcar,4,3,0.7,0,3.2118037
regcar,4,3,0.7,0.7,2.5247341
regcar,4,3,0.7,0,4.690508
van,2,3,1,0,3.0674666
regcar,8,1,0.7,0,6.6218936
regcar,2,3,1,0,4.2920479
regcar,2,3,0.7,0,4.4965252
van,1,2,1,0,4.690508
regcar,4,3,1,0,3.0674666
regcar,1,3,0.7,0,6.6218936
regcar,1,3,1,0,3.1308432
truck,2,1,1,0,4.2920479
regcar,2,3,0.7,0,3.5329841
regcar,2,3,0.7,0.3,2.5247341
regcar,2,3,0.7,0.3,2.9778108
regcar,4,2,0.7,0.7,8.0791491
truck,2,2,0.7,0,4.1386835
regcar,1,2,1,0,1.9852072
regcar,1,2,1,0,1.9270822
sportuv,4,2,0.7,0,1.9270822
regcar,2,2,0.7,0,3.5787111
regcar,8,1,1,0,3.5787111
truck,2,3,0.7,0,4.2920479
van,2,3,0.7,0.3,4.4145957
regcar,1,2,1,0,3.5329841
regcar,2,3,0.7,0,6.9482252
van,1,3,0.7,0,4.2920479
regcar,4,3,1,0,3.8017382
regcar,8,2,0.7,0,4.8177056
truck,4,1,0.7,0,1.8992777
regcar,2,3,0.7,0,4.3455777
regcar,8,3,0.7,0,1.8992777
regcar,4,3,1,0,3.0674666
sportcar,2,0,0.7,0,6.3864157
regcar,4,3,1,0,4.8568222
regcar,2,3,0.7,0.3,5.4593198
regcar,4,3,1,0,3.4741126
van,2,3,0.7,0.3,6.7447878
regcar,4,3,0.7,0.7,3.2118037
truck,4,1,1,0,6.102427
truck,2,3,1,0,3.8017382
regcar,1,2,0.7,0,3.5787111
regcar,4,2,0.7,0,3.8627713
sportuv,6,1,0.7,0.3,5.7941569
regcar,4,3,0.7,0.7,3.5611457
regcar,8,2,0.7,0.7,5.1388859
regcar,8,1,1,0.3,3.7871011
regcar,4,3,0.7,0,3.8541644
regcar,1,3,0.7,0,5.9556216
van,2,2,0.7,0,4.8177056
regcar,1,2,1,0,3.5787111
truck,8,3,0.7,0,4.8177056
regcar,1,2,1,0,4.4965252
regcar,1,3,1,0,4.1386835
regcar,2,2,0.7,0,3.8343333
regcar,6,2,0.7,0.3,2.8906233
regcar,8,3,1,0,4.690508
regcar,8,3,0.7,0,3.8343333
regcar,1,2,1,0,8.4371306
regcar,8,2,1,0,4.2920479
regcar,1,3,0.7,0,5.9556216
regcar,1,3,0.7,0,4.8177056
regcar,1,2,0.7,0,10.277772
regcar,1,3,0.7,0,4.1386835
regcar,2,2,0.7,0,4.8177056
truck,4,3,0.7,0,4.2920479
truck,8,2,1,0.3,4.6962648
regcar,2,3,1,0,3.8541644
sportuv,8,2,1,0,7.0659681
sportcar,2,1,1,0.1,4.1753448
regcar,8,2,1,0,4.1386835
regcar,8,3,0.7,0.7,2.1953304
sportcar,8,1,0.7,0,6.9482252
regcar,1,2,0.7,0,8.8291915
regcar,6,2,1,0.1,2.5562222
van,2,2,0.7,0,2.7591223
regcar,1,3,0.7,0,5.4600663
sportuv,4,1,0.7,0.7,3.8017382
sportuv,8,3,1,0.3,5.2423324
van,8,3,1,0,1.7893555
sportcar,8,0,1,0,2.5247341
regcar,4,2,0.7,0.7,3.5329841
truck,8,3,0.7,0,1.5337333
regcar,2,2,0.7,0.3,4.7969948
regcar,2,1,1,0.1,4.690508
regcar,1,3,0.7,0,4.8177056
regcar,8,2,1,0,5.9556216
regcar,1,1,0.7,0,8.0295093
truck,2,2,1,0,3.0296809
regcar,2,3,1,0.1,4.8177056
sportcar,4,0,1,0,4.4965252
regcar,2,2,1,0,1.661868
truck,8,1,1,0.3,3.8343333
regcar,1,2,0.7,0,4.0359651
regcar,6,3,1,0.1,2.8118444
regcar,4,2,0.7,0.7,4.690508
truck,1,3,0.7,0,6.0700691
truck,2,1,0.7,0.3,1.7673139
van,4,2,1,0,2.2072979
van,2,2,1,0,3.2118037
regcar,2,3,1,0,5.4600663
truck,1,2,1,0,1.3795612
regcar,4,2,0.7,0,0.96354111
sportuv,8,2,0.7,0,3.5329841
van,1,3,1,0,3.3109468
regcar,2,3,0.7,0,4.690508
truck,2,1,0.7,0.3,3.2821543
truck,2,3,1,0,1.5337333
regcar,8,3,0.7,0,5.554415
truck,2,2,1,0.7,4.8177056
regcar,8,3,1,0,3.8541644
regcar,2,3,1,0,8.9930504
regcar,1,3,0.7,0,7.7083289
regcar,4,3,0.7,0,5.4600663
regcar,4,2,1,0,3.7871011
stwagon,8,3,1,0.3,3.2118037
truck,1,3,1,0,3.5346277
van,4,2,1,0,11.911243
regcar,2,2,0.7,0,3.8343333
van,2,3,0.7,0,3.5346277
van,8,2,0.7,0,3.0296809
regcar,1,2,0.7,0,5.2423324
regcar,8,3,1,0,3.0674666
regcar,4,2,1,0,8.4371306
regcar,6,3,1,0.7,5.4593198
regcar,8,2,1,0.3,1.241605
regcar,8,3,0.7,0,7.444527
truck,4,2,0.7,0,3.7871011
van,2,3,0.7,0.3,3.5329841
truck,4,3,0.7,0,1.7893555
regcar,2,2,1,0,1.262367
regcar,2,3,0.7,0,5.2423324
van,4,3,0.7,0,3.8541644
truck,8,3,0.7,0,6.102427
regcar,8,3,1,0,7.5971108
regcar,4,2,0.7,0,1.6059019
regcar,4,3,0.7,0,3.5346277
regcar,2,3,0.7,0,0.8277367
truck,4,3,0.7,0,5.0815663
van,2,3,0.7,0,3.0296809
regcar,4,3,0.7,0,4.8177056
regcar,1,3,1,0,4.5107845
truck,8,2,0.7,0,2.569443
regcar,4,3,0.7,0,6.3118352
regcar,4,3,0.7,0,4.8177056
regcar,1,2,1,0,6.0593618
regcar,8,2,1,0.3,2.4832101
regcar,4,3,1,0.3,2.3006
van,4,3,1,0.3,10.277772
regcar,2,3,1,0,3.8627713
stwagon,8,3,1,0.3,0.96354111
van,2,2,0.7,0,4.9198965
regcar,4,3,0.7,0.7,3.2821543
regcar,2,3,0.7,0.3,2.9072116
regcar,4,2,0.7,0,2.6115068
truck,1,2,0.7,0,2.569443
truck,8,3,1,0,8.8365693
regcar,2,3,1,0,5.4600663
truck,8,2,0.7,0,6.9482252
regcar,1,2,0.7,0,5.4600663
regcar,2,3,1,0,2.9778108
regcar,6,3,1,0.1,3.5329841
regcar,8,3,1,0,7.444527
regcar,8,3,1,0.3,2.5562222
regcar,1,3,0.7,0,4.8177056
regcar,2,2,1,0.1,4.0359651
regcar,1,1,1,0,3.0674666
regcar,4,0,0.7,0,2.9778108
truck,8,2,0.7,0.1,6.6474719
sportuv,1,3,0.7,0,0.67089498
regcar,1,3,0.7,0,4.1386835
truck,8,3,0.7,0,6.3118352
regcar,8,3,0.7,0.7,3.2821543
truck,1,3,0.7,0,4.1386835
regcar,2,3,0.7,0.3,4.690508
regcar,2,3,1,0,4.1386835
regcar,2,3,1,0,7.4106175
regcar,1,3,1,0,4.7898118
regcar,8,2,0.7,0.1,4.1753448
regcar,8,2,0.7,0,3.3544749
regcar,4,1,0.7,0,3.3109468
regcar,8,3,0.7,0.1,3.5781065
regcar,4,2,1,0,4.8177056
sportcar,1,0,1,0,6.0700691
regcar,4,3,1,0,6.0593618
van,2,2,0.7,0,5.2423324
van,8,3,0.7,0,1.6554734
regcar,2,1,0.7,0.3,2.2482626
regcar,8,3,1,0,2.2072979
regcar,4,0,1,0,4.4965252
regcar,4,2,1,0,5.4600663
regcar,1,3,1,0,2.2482626
regcar,2,2,1,0.1,3.8017382
regcar,1,2,1,0,5.4600663
regcar,8,2,1,0.3,4.8177056
van,4,3,0.7,0,4.0359651
regcar,8,3,0.7,0,5.9556216
van,8,3,1,0,4.3455777
regcar,4,3,0.7,0,4.8177056
van,4,3,1,0.3,1.5148404
sportuv,4,3,0.7,0,4.690508
regcar,2,3,1,0,7.444527
truck,4,2,0.7,0,2.4599482
regcar,4,2,0.7,0,2.569443
regcar,4,2,0.7,0,3.5787111
regcar,8,3,0.7,0.7,7.444527
van,4,3,1,0,3.7871011
regcar,4,2,1,0,7.444527
sportcar,4,1,1,0.3,1.6554734
regcar,8,3,1,0.3,5.1388859
truck,1,3,1,0,6.0700691
regcar,1,3,0.7,0,3.3109468
van,1,2,1,0,2.7772075
truck,8,2,0.7,0,0.96354111
truck,8,2,0.7,0.7,3.5611457
sportuv,8,3,0.7,0,4.690508
regcar,1,3,0.7,0,4.2920479
van,8,3,0.7,0,4.4965252
regcar,8,2,1,0.3,2.8906233
regcar,2,2,0.7,0,4.4965252
van,1,3,0.7,0,4.2920479
regcar,8,3,0.7,0,6.3864157
regcar,8,3,0.7,0.7,1.4244583
sportcar,4,1,1,0,1.661868
sportcar,6,0,1,0.1,1.1870486
regcar,1,3,0.7,0,6.9851422
regcar,8,3,0.7,0,1.3795612
regcar,1,3,1,0,3.0296809
regcar,2,3,0.7,0.3,2.1953304
regcar,1,2,1,0,3.5611457
regcar,4,3,0.7,0,0.8277367
regcar,6,2,1,0.1,3.7985554
regcar,1,3,0.7,0,7.7083289
regcar,2,1,1,0,3.5329841
van,8,3,1,0,4.8177056
regcar,8,2,1,0,4.3455777
regcar,4,1,1,0,1.0224889
regcar,4,3,0.7,0.7,3.586859
truck,2,3,1,0,3.0674666
van,2,3,1,0,4.7969948
regcar,8,3,0.7,0,3.8541644
truck,2,3,0.7,0,6.9482252
regcar,1,3,0.7,0,7.8271081
sportcar,2,0,0.7,0,4.9198965
sportuv,4,3,0.7,0,5.4600663
regcar,2,1,1,0,4.690508
regcar,4,2,1,0,4.3455777
truck,2,3,0.7,0,1.9852072
regcar,8,3,0.7,0,1.2847215
regcar,1,3,0.7,0,6.1349332
regcar,2,3,1,0,4.690508
regcar,2,3,1,0,4.0359651
regcar,1,2,1,0,3.8017382
regcar,8,3,1,0,0.96354111
truck,8,2,1,0,1.9852072
van,8,3,0.7,0.7,3.0863263
regcar,8,3,0.7,0,3.7871011
regcar,4,2,0.7,0,2.9778108
regcar,1,1,0.7,0,7.0692554
van,8,3,0.7,0,3.0296809
regcar,1,2,0.7,0,6.8978058
sportuv,4,3,0.7,0,3.8017382
regcar,1,2,1,0,3.7871011
regcar,1,3,0.7,0,1.5337333
truck,4,3,0.7,0,1.6554734
regcar,6,3,1,0.1,3.0350346
regcar,2,1,0.7,0.3,1.7370563
truck,8,2,1,0,8.4371306
regcar,1,2,0.7,0,6.9482252
regcar,1,3,0.7,0,1.1974529
regcar,2,3,0.7,0,6.9482252
sportuv,8,2,1,0,3.5329841
regcar,4,0,1,0,1.0098936
regcar,4,1,1,0,4.2920479
regcar,4,3,0.7,0,4.690508
sportuv,4,3,1,0,4.8177056
regcar,8,3,0.7,0.7,7.444527
sportcar,8,1,0.7,0.7,7.444527
regcar,8,2,1,0,0.8277367
sportcar,4,2,0.7,0.7,7.3871485
regcar,4,3,0.7,0,5.4600663
stwagon,1,3,0.7,0,1.4889054
regcar,2,2,0.7,0,4.1386835
regcar,8,3,0.7,0,5.5881138
regcar,1,0,0.7,0,6.9482252
regcar,1,3,0.7,0,5.9556216
regcar,4,2,0.7,0,3.8541644
regcar,8,1,0.7,0,4.0359651
regcar,8,3,0.7,0,4.4965252
van,6,3,1,0.7,5.1435281
truck,4,1,1,0,4.4965252
regcar,2,2,0.7,0.3,2.2333581
truck,4,3,0.7,0,4.2920479
sportuv,1,3,1,0,6.102427
regcar,2,1,0.7,0.3,3.4741126
regcar,8,2,0.7,0,6.0700691
regcar,4,1,1,0,3.5329841
regcar,8,3,0.7,0,1.5337333
regcar,8,2,1,0,3.7871011
truck,4,2,0.7,0,4.1386835
regcar,8,3,0.7,0,0.89452663
regcar,8,2,1,0.3,1.6059019
truck,1,2,0.7,0,3.3109468
truck,8,2,0.7,0.7,3.2821543
regcar,1,3,0.7,0,1.4889054
regcar,8,3,1,0,8.4371306
truck,8,2,1,0.3,1.5337333
van,8,2,1,0,3.3109468
regcar,2,3,1,0,2.2482626
truck,8,3,0.7,0.7,2.2333581
van,2,3,0.7,0,4.9198965
sportuv,2,3,1,0,5.3671598
van,4,3,1,0,3.5994428
regcar,4,3,0.7,0,3.5611457
regcar,8,3,1,0,2.4599482
regcar,8,2,1,0,3.3109468
regcar,6,1,1,0.1,2.5247341
sportcar,2,1,0.7,0.3,4.4145957
regcar,1,3,0.7,0,3.0674666
regcar,8,3,0.7,0,6.9482252
regcar,8,3,0.7,0,2.2482626
regcar,8,3,1,0,0.96354111
regcar,8,3,0.7,0,5.3671598
regcar,8,2,0.7,0,0.8277367
regcar,2,3,1,0,4.2920479
regcar,1,2,0.7,0,3.0674666
regcar,4,3,1,0,6.2616864
sportuv,1,3,0.7,0,4.9198965
regcar,2,2,0.7,0,8.8365693
regcar,2,3,0.7,0,6.6218936
regcar,2,3,0.7,0,4.2920479
truck,8,2,0.7,0,6.7754218
regcar,1,3,0.7,0,3.5329841
sportcar,2,2,0.7,0,4.3906608
regcar,2,3,1,0,5.4600663
regcar,8,3,0.7,0,8.8291915
regcar,4,3,1,0,1.6059019
regcar,8,1,1,0,10.277772
regcar,4,2,0.7,0.7,3.8343333
sportcar,2,2,0.7,0,2.3290512
truck,8,2,0.7,0.7,1.1241313
regcar,2,2,1,0,4.690508
regcar,8,3,1,0.3,1.9313856
regcar,6,3,0.7,0.3,4.1386835
regcar,6,3,1,0.1,5.4593198
sportuv,2,3,1,0,5.0815663
regcar,8,3,0.7,0,3.0674666
van,2,3,1,0,6.0700691
regcar,4,3,0.7,0,4.0359651
sportcar,2,1,1,0,8.8365693
sportcar,4,0,1,0.3,1.1241313
regcar,8,3,0.7,0,3.4741126
sportuv,4,3,0.7,0,4.690508
regcar,6,2,1,0.1,5.1388859
regcar,2,2,1,0.1,3.5329841
regcar,8,3,1,0,7.7083289
regcar,2,2,0.7,0,8.0791491
regcar,1,2,0.7,0,4.4965252
van,1,3,1,0,4.1386835
regcar,8,3,0.7,0,4.4965252
regcar,2,2,1,0.1,4.4145957
regcar,4,3,1,0,8.0791491
regcar,2,2,1,0,5.9556216
regcar,2,3,1,0,2.481509
regcar,2,2,1,0,2.2482626
regcar,8,3,1,0,6.6218936
sportuv,4,3,1,0,3.8541644
stwagon,4,2,1,0,2.9778108
regcar,2,3,1,0.1,1.4453117
regcar,1,3,0.7,0,4.3455777
van,8,3,0.7,0.7,3.7871011
van,6,3,0.7,0.3,1.7370563
regcar,8,2,1,0,5.6978331
regcar,4,3,0.7,0.7,4.1753448
regcar,4,3,0.7,0.1,3.2821543
regcar,2,3,0.7,0,3.8541644
sportuv,4,2,1,0.3,3.0350346
regcar,1,3,1,0,2.481509
regcar,2,3,1,0.1,4.6962648
regcar,1,1,1,0,4.2920479
regcar,8,2,0.7,0,3.5611457
regcar,8,3,0.7,0,8.4371306
regcar,8,3,1,0,2.9778108
van,8,3,0.7,0.7,1.4453117
regcar,2,3,1,0.1,7.9408288
sportcar,1,2,1,0,5.2423324
regcar,4,2,0.7,0,3.5787111
regcar,8,2,1,0.3,1.9270822
stwagon,4,3,0.7,0,15.881658
sportuv,8,3,0.7,0,2.569443
sportuv,1,3,1,0,1.2847215
regcar,8,2,1,0,4.0359651
sportcar,2,0,0.7,0,3.5787111
regcar,2,2,0.7,0,4.2490015
truck,4,3,1,0,4.3455777
sportcar,2,2,0.7,0,4.690508
regcar,2,3,1,0,5.4600663
regcar,1,3,1,0,7.444527
truck,4,2,1,0.3,0.96354111
truck,2,1,0.7,0,2.569443
sportcar,8,0,0.7,0,0.8277367
truck,8,1,1,0.3,10.277772
regcar,4,1,0.7,0,2.7940569
van,4,3,1,0.3,5.4604234
regcar,8,2,1,0.3,2.9936324
sportcar,2,1,0.7,0.3,0.96354111
regcar,8,3,0.7,0,2.7772075
stwagon,1,3,1,0,3.8343333
regcar,4,3,1,0,4.8568222
regcar,8,3,0.7,0.7,1.9270822
sportuv,4,3,1,0,3.5346277
sportuv,6,3,1,0.7,5.3019416
regcar,8,3,0.7,0,4.1386835
regcar,8,1,1,0,2.2482626
regcar,2,3,0.7,0,0.96354111
regcar,4,3,1,0,3.7871011
van,4,3,1,0.3,4.2920479
regcar,4,3,0.7,0.7,4.8177056
sportcar,4,2,0.7,0,4.3455777
regcar,8,2,0.7,0,2.481509
sportuv,4,3,1,0,1.1870486
regcar,8,2,0.7,0,2.8489165
van,8,3,0.7,0,1.0224889
sportcar,4,1,0.7,0,1.9313856
regcar,4,3,1,0,6.3118352
regcar,8,3,1,0,4.2920479
van,1,3,1,0,3.7871011
regcar,8,3,0.7,0.7,4.690508
regcar,4,2,0.7,0,5.4600663
regcar,8,3,0.7,0,8.0791491
sportuv,8,3,1,0,5.928494
van,4,3,0.7,0.7,4.5107845
regcar,1,0,0.7,0,4.690508
regcar,1,2,1,0,3.5329841
regcar,2,3,0.7,0.3,4.5902363
regcar,8,2,1,0.3,6.7447878
van,1,3,0.7,0,6.0700691
regcar,4,3,0.7,0,6.0700691
stwagon,8,3,0.7,0,3.0296809
regcar,8,3,1,0.3,2.9072116
regcar,2,2,0.7,0.3,3.1932079
regcar,6,2,1,0.1,5.4604234
regcar,4,3,0.7,0,3.0296809
regcar,4,3,1,0,5.2423324
regcar,4,2,0.7,0,3.8017382
regcar,2,3,0.7,0,1.5337333
regcar,8,1,1,0.3,2.7591223
regcar,8,3,1,0.3,4.1753448
regcar,4,1,0.7,0,3.3109468
sportuv,1,2,0.7,0,8.179911
sportcar,6,1,1,0.1,7.0692554
truck,4,3,0.7,0.7,4.963018
regcar,2,3,0.7,0.3,4.1386835
regcar,4,3,0.7,0,3.0296809
regcar,1,3,1,0,4.8177056
regcar,8,2,0.7,0,0.71222914
regcar,4,3,0.7,0,4.8177056
regcar,1,0,0.7,0,6.0700691
stwagon,4,3,0.7,0,3.2118037
truck,4,3,0.7,0,3.8017382
truck,6,3,0.7,0.3,4.7969948
truck,1,3,1,0,4.690508
regcar,4,2,1,0,3.3544749
regcar,4,2,1,0,4.8568222
regcar,8,3,1,0.3,3.3230888
truck,1,2,1,0,6.6218936
regcar,8,3,0.7,0.7,6.7447878
van,8,3,1,0,6.0700691
van,8,2,0.7,0,5.554415
regcar,2,2,1,0.1,1.1241313
regcar,4,3,0.7,0.7,6.7447878
van,8,3,0.7,0,1.2847215
van,2,2,1,0,6.0700691
regcar,4,1,1,0,0.96354111
regcar,2,2,1,0.1,2.7772075
regcar,4,1,1,0.3,3.586859
truck,8,2,1,0,1.7893555
regcar,2,3,1,0.1,3.7871011
regcar,4,2,0.7,0.7,2.7591223
regcar,4,3,0.7,0.7,5.7941569
stwagon,4,3,0.7,0.1,8.0295093
regcar,8,2,1,0,9.4297342
regcar,2,3,0.7,0,3.5994428
regcar,2,2,1,0,5.6978331
regcar,1,3,0.7,0,4.3455777
regcar,2,2,0.7,0.3,1.661868
regcar,8,2,0.7,0,2.7940569
regcar,1,2,0.7,0,5.0815663
regcar,1,2,0.7,0,3.7919343
regcar,4,3,1,0,3.3544749
sportcar,2,2,1,0,4.2920479
van,8,3,0.7,0,8.4371306
regcar,1,1,0.7,0,1.1036489
regcar,8,0,0.7,0,3.5329841
regcar,6,2,1,0.1,2.2482626
regcar,2,2,1,0,1.9270822
regcar,2,3,1,0,1.2847215
van,6,3,0.7,0.3,4.0395745
sportuv,2,3,1,0.1,4.5107845
regcar,2,2,1,0,3.0296809
regcar,2,3,0.7,0,3.3544749
van,1,2,0.7,0,6.6218936
regcar,8,3,1,0,5.6978331
sportuv,1,2,1,0,5.554415
sportuv,8,2,0.7,0,4.8177056
regcar,1,3,1,0,4.690508
regcar,4,1,1,0,5.2230137
regcar,2,3,0.7,0,1.2847215
regcar,2,2,1,0,3.3109468
sportcar,4,2,1,0,6.0700691
regcar,2,2,1,0,4.690508
regcar,2,3,0.7,0,3.8627713
regcar,8,3,0.7,0,7.444527
regcar,6,2,0.7,0.3,3.8343333
regcar,4,3,0.7,0.7,3.2821543
regcar,6,3,1,0.1,4.8177056
stwagon,8,2,0.7,0,7.5971108
regcar,8,3,1,0.3,5.879311
regcar,4,3,1,0.3,4.1386835
sportcar,1,0,0.7,0,4.0359651
regcar,2,2,1,0,3.8541644
regcar,2,3,1,0,4.1386835
regcar,4,3,0.7,0,5.3671598
regcar,8,2,1,0,5.4600663
regcar,8,3,1,0,3.8627713
regcar,4,3,0.7,0,4.8177056
regcar,4,3,1,0,3.5346277
sportuv,8,3,1,0,5.2230137
van,2,2,0.7,0,4.8177056
truck,4,2,1,0,2.2482626
van,2,3,1,0.1,4.6962648
sportcar,8,0,1,0,4.0359651
regcar,8,3,0.7,0.7,5.4593198
van,4,2,1,0,1.9270822
regcar,1,3,1,0,6.0700691
regcar,8,3,1,0,3.5611457
truck,4,2,0.7,0.7,6.102427
regcar,4,3,0.7,0,6.6218936
sportuv,4,3,1,0,6.3864157
regcar,8,3,0.7,0,5.6978331
stwagon,6,2,1,0.1,4.4145957
regcar,8,3,1,0,4.2920479
regcar,8,3,1,0,7.0659681
sportcar,4,2,0.7,0,0.8277367
stwagon,6,2,1,0.1,2.7591223
